Date,Adj Close,Close,High,Low,Open,Volume
2023-11-02 00:00:00+00:00,176.6659851,177.5700073,177.7799988,175.4600067,175.5200043,77334800
2023-11-03 00:00:00+00:00,175.7506714,176.6499939,176.8200073,173.3500061,174.2400055,79763700
2023-11-06 00:00:00+00:00,178.3175201,179.2299957,179.4299927,176.2100067,176.3800049,63841300
2023-11-07 00:00:00+00:00,180.8943329,181.8200073,182.4400024,178.9700012,179.1799927,70530000
2023-11-08 00:00:00+00:00,181.9588928,182.8899994,183.4499969,181.5899963,182.3500061,49340300
2023-11-09 00:00:00+00:00,181.4813385,182.4100037,184.1199951,181.8099976,182.9600067,53763500
2023-11-10 00:00:00+00:00,185.6953583,186.3999939,186.5700073,183.5299988,183.9700012,66133400
2023-11-13 00:00:00+00:00,184.1014099,184.8000031,186.0299988,184.2100067,185.8200073,43627500
2023-11-14 00:00:00+00:00,186.7314148,187.4400024,188.1100006,186.3000031,187.6999969,60108400
2023-11-15 00:00:00+00:00,187.2992554,188.0099945,189.5,187.7799988,187.8500061,53790500
2023-11-16 00:00:00+00:00,188.9928436,189.7100067,190.9600067,188.6499939,189.5700073,54412900
2023-11-17 00:00:00+00:00,188.9729156,189.6900024,190.3800049,188.5700073,190.25,50922700
2023-11-20 00:00:00+00:00,190.7262421,191.4499969,191.9100037,189.8800049,189.8899994,46505100
2023-11-21 00:00:00+00:00,189.9193268,190.6399994,191.5200043,189.7400055,191.4100037,38134500
2023-11-22 00:00:00+00:00,190.586792,191.3099976,192.9299927,190.8300018,191.4900055,39617700
2023-11-24 00:00:00+00:00,189.2518463,189.9700012,190.8999939,189.25,190.8699951,24048300
2023-11-27 00:00:00+00:00,189.072525,189.7899933,190.6699982,188.8999939,189.9199982,40552600
2023-11-28 00:00:00+00:00,189.6802216,190.3999939,191.0800018,189.3999939,189.7799988,38415400
2023-11-29 00:00:00+00:00,188.654129,189.3699951,192.0899963,188.9700012,190.8999939,43014200
2023-11-30 00:00:00+00:00,189.2319183,189.9499969,190.3200073,188.1900024,189.8399963,48794400
2023-12-01 00:00:00+00:00,190.5170593,191.2400055,191.5599976,189.2299957,190.3300018,45679300
2023-12-04 00:00:00+00:00,188.7138824,189.4299927,190.0500031,187.4499969,189.9799957,43389500
2023-12-05 00:00:00+00:00,192.6888123,193.4199982,194.3999939,190.1799927,190.2100067,66628400
2023-12-06 00:00:00+00:00,191.5929871,192.3200073,194.7599945,192.1100006,194.4499969,41089700
2023-12-07 00:00:00+00:00,193.535614,194.2700043,195,193.5899963,193.6300049,47477700
2023-12-08 00:00:00+00:00,194.9701538,195.7100067,195.9900055,193.6699982,194.1999969,53377300
2023-12-11 00:00:00+00:00,192.449707,193.1799927,193.4900055,191.4199982,193.1100006,60943700
2023-12-12 00:00:00+00:00,193.9739532,194.7100067,194.7200012,191.7200012,193.0800018,52696900
2023-12-13 00:00:00+00:00,197.2116547,197.9600067,198,194.8500061,195.0899963,70404200
2023-12-14 00:00:00+00:00,197.361084,198.1100006,199.6199951,196.1600037,198.0200043,66831600
2023-12-15 00:00:00+00:00,196.8231201,197.5700073,198.3999939,197,197.5299988,128256700
2023-12-18 00:00:00+00:00,195.1494598,195.8899994,196.6300049,194.3899994,196.0899963,55751900
2023-12-19 00:00:00+00:00,196.1955109,196.9400024,196.9499969,195.8899994,196.1600037,40714100
2023-12-20 00:00:00+00:00,194.0934906,194.8300018,197.6799927,194.8300018,196.8999939,52242800
2023-12-21 00:00:00+00:00,193.9440308,194.6799927,197.0800018,193.5,196.1000061,46482500
2023-12-22 00:00:00+00:00,192.8681488,193.6000061,195.4100037,192.9700012,195.1799927,37122800
2023-12-26 00:00:00+00:00,192.3202209,193.0500031,193.8899994,192.8300018,193.6100006,28919300
2023-12-27 00:00:00+00:00,192.4198303,193.1499939,193.5,191.0899963,192.4900055,48087700
2023-12-28 00:00:00+00:00,192.8482056,193.5800018,194.6600037,193.1699982,194.1399994,34049900
2023-12-29 00:00:00+00:00,191.8021851,192.5299988,194.3999939,191.7299957,193.8999939,42628800
2024-01-02 00:00:00+00:00,184.9382172,185.6399994,188.4400024,183.8899994,187.1499939,82488700
2024-01-03 00:00:00+00:00,183.5534821,184.25,185.8800049,183.4299927,184.2200012,58414500
2024-01-04 00:00:00+00:00,181.2223206,181.9100037,183.0899963,180.8800049,182.1499939,71983600
2024-01-05 00:00:00+00:00,180.4950867,181.1799927,182.7599945,180.1699982,181.9900055,62303300
2024-01-08 00:00:00+00:00,184.8585205,185.5599976,185.6000061,181.5,182.0899963,59144500
2024-01-09 00:00:00+00:00,184.4401093,185.1399994,185.1499939,182.7299957,183.9199982,42841800
2024-01-10 00:00:00+00:00,185.4861298,186.1900024,186.3999939,183.9199982,184.3500061,46792900
2024-01-11 00:00:00+00:00,184.8884125,185.5899963,187.0500031,183.6199951,186.5399933,49128400
2024-01-12 00:00:00+00:00,185.2171631,185.9199982,186.7400055,185.1900024,186.0599976,40444700
2024-01-16 00:00:00+00:00,182.9358215,183.6300049,184.2599945,180.9299927,182.1600037,65603000
